tok,count
"FUJIWARA",396
"no",1952
"Chikamori",1
"(",12546
"year",928
"of",12856
"birth",1062
"and",5336
"death",661
"unknown",1073
")",12543
"was",6324
"a",10458
"samurai",263
"poet",281
"who",1746
"live",1031
"at",509
"the",17261
"end",545
"Heian",1114
"period",4767
".",11273
"Ryonen",1
"1646",5
"-",2797
"October",378
"29",147
",",13071
"1711",9
"Buddhist",553
"nun",14
"Obaku",15
"Sect",357
"from",1411
"earli",816
"Edo",1288
"to",3525
"mid-Edo",29
"A",137
"moat",6
"settlement",7
"is",5209
"villag",35
"surround",25
"by",1562
"Fushimi",69
"Momoyama",48
"Athletic",4
"Park",36
"locat",854
"in",7349
"Momoyama-cho",2
"Kyoto",1842
"Citi",1432
"Prefectur",1226
"Iwanohimenomikoto",1
"–",188
"June",339
"347",1
"an",930
"Empress",69
"Kofun",51
"yOSHIMINE",1
"Nagamatsu",1
"813",1
"Decemb",359
"30",163
"879",4
"govern",667
"offici",394
"dure",1491
"Hiizu",1
"MIyAKE",4
"Novemb",342
"1848",12
"March",410
"16",140
"1938",9
"doctor",31
"Dutch",52
"scholar",137
"medic",10
"scientist",7
"member",422
"Diet",15
"Hous",63
"Peer",9
"&#91;",153
"Japan",1407
"&#93;",153
"Imperial",758
"Princ",254
"Akinari",1
"998",5
"May",333
"23",169
"1035",3
"Famili",152
"The",1346
"Sanjonishi",1
"hous",90
"branch",74
"line",108
"Ogimachi-Sanjo",1
"Kanin",4
"Line",231
"Fujiwara",54
"North",5
"clan",501
"as",1096
"well",76
"court",827
"nobl",754
"have",186
"status",79
"Minist",59
"Old",14
"or",1276
"Uchiuchi",2
"Kichisaburo",1
"IINO",1
"1867-Februari",1
"3",169
"1944",7
"person",271
"new",49
"religion",47
"famili",844
"feudal",447
"retain",192
"Iwamura",1
"domain",99
"Mino",18
"Provinc",565
"current",40
"Gifu",13
"yasuhid",2
"NAGAI",5
"1212",5
"Januari",408
"11",133
"1254",2
"Kamakura",706
"Period",741
"term",367
""",2448
"Teppo",1
"Denrai",1
"introduct",11
"firearm",3
"general",167
"refer",752
"matchlock",6
"gun",16
"Europ",8
"into",122
"East",29
"Asia",19
"15th",17
"centuri",142
"more",18
"limit",17
"sens",20
"it",328
"mean",296
"Tanegashima",2
"Island",22
"Domain",239
"exist",152
"yamashiro",54
"present",104
"day",126
"Ward",552
"yomi",3
"world",40
"dead",13
"Kakuan-ji",1
"Templ",522
"templ",494
"belong",181
"Shingon",177
"Ritsu",18
"sect",457
"Buddhism",319
"Nukatabetera-machi",1
"yamatokoriyama",6
"Nara",570
"Michitomo",1
"KOGA",19
"8",142
"1660",8
"August",374
"22",143
"1719",6
"Kugyo",226
"top",126
"mid",166
"Isso",1
"school",452
"one",864
"fue-kata",4
"flute",9
"player",41
"Nohgaku",18
"art",187
"Noh",192
"Matsunoodera",1
"Station",274
"railway",60
"facil",68
"on",1027
"Obama",2
"West",140
"Railway",190
"Compani",84
"JR",87
"Aza-Kissaka-mubanchi",1
"Maizuru",96
"Natto",1
"Japanes",2308
"food",80
"produc",50
"ferment",22
"soybean",8
"with",559
"bacillus",1
"subtili",1
"natto",2
"Tonan-in",2
"main",179
"consid",38
"been",148
"southeast",3
"Todai-ji",12
"which",1239
"around",166
"Todaiji",1
"Librari",6
"Sugyoroku",1
"book",161
"theori",34
"compil",87
"100",9
"volum",22
"Enju",1
"EIMIN",1
"monk",217
"time",202
"between",233
"Wu-yueh",1
"Chines",167
"Godai",4
