tok,weight
(':', 'Benkei'),0.0
('were', 'taken'),-1.0
('Ubusunagami', 'is'),0.0
('Mitsutoyo', 'KAJUJI'),1.0
Uchiumi,-1.0
('/', 'Kyoto'),0.0
('The', 'Omi'),0.0
demon,-4.0
('Kamakura', 'era'),-3.0
('964', '-'),0.0
exile,1.0
('the', 'present-day'),-4.0
TAIGEN,-12.0
('black', 'used'),-1.0
('seii', 'taishogun'),-9.0
('flung', 'up'),-1.0
('and', 'part'),-1.0
('1467', ')'),-1.0
('and', 'Ta'),0.0
('Temple', 'on'),10.0
(')', 'Daimyo'),2.0
('YAMANA', ','),3.0
('Motoi', '('),0.0
Minami,-11.0
広沢真臣,1.0
('with', 'egg'),0.0
('or', 'law'),0.0
('for', 'Kintsuba-yaki'),-1.0
('the', 'Takekawacho'),0.0
('suikuchi', '('),-2.0
Masatsura,1.0
Wada,-1.0
('Jujo', 'Station'),-1.0
('of', 'annually'),-1.0
('by', 'being'),0.0
('The', 'Rokkaku-dori'),0.0
('big', 'Buddhist'),-1.0
('provincial', 'system'),-1.0
Kenka,-1.0
('special', 'local'),0.0
('ota', ','),-2.0
('property', 'refers'),-2.0
('thirteen', 'grades'),0.0
('February', '5'),4.0
('KATSUSHIKA', 'as'),3.0
('no', 'Moritsuna'),1.0
François,0.0
('Ishiyama', 'War'),0.0
Girl,0.0
('by', 'Soji'),-1.0
('Tsunefusa', '('),1.0
('affairs', 'of'),-2.0
('von', 'Siebold'),0.0
('culture', 'and'),-1.0
('the', 'Funabashi'),0.0
('shogunate', ')'),8.0
('usages', ')'),1.0
1904,-2.0
('as', 'Tamakaki'),0.0
('by', 'these'),3.0
Bunchi-ha,-3.0
('SEN', 'no'),6.0
('fermented', 'with'),0.0
('SEI', '('),2.0
permanently,-1.0
belief,-10.0
(',', 'Yamabe'),-1.0
('Gien', '('),4.0
('calendar', ';'),0.0
('Tadateru', 'MATSUDAIRA'),0.0
('.', 'Kagu'),-1.0
Ushutandai,-6.0
('Gosho', '('),2.0
('Genpuku', 'was'),-2.0
('quell', 'the'),-1.0
('Masuko', '('),2.0
('institution', 'under'),-1.0
('in', 'Lisbon'),0.0
('villages', 'promoted'),0.0
(',', 'Sumitada'),0.0
('called', 'yosemiya'),0.0
('AKECHI', '('),0.0
('tower', 'or'),0.0
Kayanu-hime,0.0
('684', ';'),-1.0
courtier,1.0
('Konkaikomyo-ji', 'Temple'),0.0
('titles', '.'),-3.0
('or', 'beef'),0.0
('time', '.'),7.0
('gear', 'to'),-2.0
(',', '1258'),0.0
('or', 'worship'),0.0
("'", 'or'),-16.0
('narrative', '/'),0.0
chaser,1.0
('of', 'Yoshitsune'),-1.0
('opened', 'a'),0.0
ABE,7.0
('1650', ')'),0.0
1603-October,1.0
('Tameyo', 'NIJO'),2.0
('pepper', 'powder'),-2.0
('yugao', '('),-2.0
('mainly', 'from'),-6.0
gambler,0.0
('was', 'to'),-2.0
('of', '15,000'),0.0
('hem', '.'),0.0
('1001', '-'),1.0
('elder', 'brother'),5.0
Goin,0.0
('both', 'are'),0.0
('grand', 'shogi'),2.0
('Makunouchi-bento', 'is'),-2.0
('TSUKIOKA', 'from'),-2.0
('Prince', 'Hisaaki'),1.0
Teishitsu,-1.0
('were', 'arrested'),0.0
('China', '&#93;'),1.0
('affairs', 'who'),-3.0
('anthologies', '.'),7.0
Daziafu,0.0
hachidai,3.0
Kitchens,0.0
('War', 'in'),3.0
Mishige,-1.0
('Senmen', 'Koshakyo'),0.0
('ritsuryo-sei', ')'),0.0
('a', 'certain'),-28.0
('"', 'aonyobo'),0.0
('Cloistered', 'Imperial'),-5.0
Hikozaburo,1.0
('until', 'the'),2.0
('out', 'to'),0.0
('from', 'rice'),0.0
('Heiji', 'Rebellion'),-1.0
Sanai,-2.0
('governor', 'Michitsune'),-1.0
1176,7.0
("'s", 'novel'),0.0
('kotsuzumi-kata', '('),-3.0
Ibuki,0.0
('engaging', 'in'),0.0
introduced,-15.0
('856-November', '8'),1.0
('of', 'Kintetsu'),-2.0
('(', '1592-1653'),0.0
('the', 'Nakanomikado'),0.0
('1445', '-'),0.0
('base', 'of'),-2.0
('containing', 'one'),0.0
Norinaga,1.0
1941,-2.0
('Kitsuregawa', 'Domain'),0.0
('a', 'noncommissioned'),2.0
Ukanomitama,-1.0
('Sect', 'monk'),0.0
('The', 'Katsuraki'),-1.0
('Taiso', 'no'),4.0
duck,0.0
('Suzuhiko-hime', '('),0.0
('facility', 'located'),-3.0
('attracting', 'people'),0.0
Kutsukawa,-1.0
chanted,-1.0
Ujitada,1.0
('Hot', 'Spring'),-3.0
('Japanese', 'male'),-3.0
sento,-1.0
measuring,0.0
('Hisatsu-hime', '('),-1.0
admitted,0.0
('somen', 'noodles'),0.0
(',', '1179'),0.0
('hair', 'oil'),0.0
TAKATSUJI,-7.0
('7th', 'Tosshi'),1.0
Iwate,1.0
('the', 'form'),6.0
('1437', '.'),-2.0
('Princess', '.'),3.0
('between', 'Shin-Osaka'),-1.0
('in', 'Aseri'),0.0
Suichiku,0.0
('Japanese', 'painting'),-4.0
('cohorts', ','),-3.0
('syncretized', 'god'),0.0
('Wakayama', 'Prefectures'),-1.0
('and', 'Kokugaryo'),-1.0
('or', 'herself'),3.0
('1489', ')'),0.0
('to', 'about'),0.0
('dyeing', 'teeth'),-1.0
('Saigyo', ','),5.0
crisis,-1.0
('of', 'Yukimori'),0.0
1096,2.0
('A', 'sakushazuke'),0.0
('Toriya', 'Misanzai'),0.0
('shipping', 'goods'),-2.0
garrison,0.0
('itsutsuginu', ','),0.0
661-1,0.0
Sakae-cho,0.0
('the', 'Heian'),19.0
('tale', 'that'),2.0
('makeup', 'and'),-1.0
jurisprudence,-1.0
('Hitachi', 'Province'),-1.0
('Tatsushi', 'NARITA'),0.0
('designated', 'territory'),0.0
Hachijonomiya,1.0
('Seichu', 'Roshi'),0.0
kikoshi,-1.0
territorial,-20.0
TAMURA,3.0
('them', 'are'),3.0
Mochigumi,0.0
('policy', 'to'),-4.0
('is', 'located'),-32.0
Uno,0.0
('or', 'Hyohan'),0.0
('Kinmasu', 'SAIONJI'),1.0
('in', 'removing'),-1.0
('The', 'Hachijo'),0.0
('herbal', 'drugs'),-1.0
('Lady', 'of'),0.0
series,-4.0
('beans', ')'),0.0
('primarily', 'of'),0.0
('hit', 'the'),-1.0
('Heian-kyo', 'on'),-1.0
1955,4.0
('Kimiko', 'YOSHIMI'),3.0
chamberlain,-1.0
('as', 'Chusenshi'),0.0
('the', 'opponents'),2.0
('had', 'submitted'),0.0
('perished', 'by'),0.0
('the', 'statue'),0.0
('is', 'votive'),-2.0
('Ujitsune', 'SHIBA'),0.0
INUI,1.0
('the', 'thirty-fourth'),0.0
distinctively,0.0
ken,1.0
('their', 'mouths'),0.0
Matsushimaya,0.0
('gather', 'and'),0.0
('science', 'translated'),-2.0
('the', 'viewpoint'),-2.0
('the', 'grand'),1.0
('in', 'lines'),6.0
Kintsura,1.0
('Ise', 'ebi'),0.0
('Dokyo', '('),0.0
('is', 'kyaku'),0.0
('digging', 'ground'),0.0
('to', 'some'),-1.0
Succession,6.0
(')', 'attendants'),0.0
(')', 'lines'),0.0
('Rinsen-ji', 'Temple'),0.0
('rice', 'field'),-3.0
('Oshiha', 'no'),1.0
Shichihonmatsu-dori,-2.0
(',', 'castles'),-1.0
('gates', 'located'),0.0
('Kabuki', 'Juhachiban'),0.0
Nichiu,0.0
('honorable', 'spirits'),0.0
('Funa', 'benkei'),0.0
('Fubutsushi', 'means'),-1.0
('koryo', 'sei'),-3.0
('essayist', 'from'),1.0
('the', 'Tea'),-1.0
('between', 'pro-Hideyoshi'),-2.0
('Ryakki', 'is'),5.0
('box', 'for'),0.0
Moshi,0.0
('threads', '.'),-3.0
('indicates', 'female'),0.0
('circa', 'April'),0.0
('exterritoriality', 'for'),-1.0
('Joganden', 'Palace'),0.0
('riverbed', '('),0.0
('1034', '-'),0.0
('as', 'Yasunobu'),0.0
('vinegared', 'miso'),0.0
Keiko,5.0
('and', 'turning'),0.0
Kanmuryoju,0.0
('of', 'Nyobutsu'),-1.0
('Fujinomori', 'Station'),-1.0
('Gotobanoin', 'Kunaikyo'),2.0
('gods', 'and'),0.0
('Japanese', 'specters'),-3.0
('every', 'other'),0.0
('the', 'territories'),-4.0
('the', 'Kazando'),0.0
('group', 'which'),7.0
('some', 'of'),-1.0
('traditional', 'food'),0.0
('exorcism', 'and'),0.0
('soul', ','),-1.0
('responsibility', 'for'),-3.0
Amenotokotachi,0.0
('shake', '('),0.0
('type', 'myths'),0.0
('the', 'Murder'),0.0
('but', 'then'),-1.0
('10', 'representative'),0.0
('Kyoto', 'for'),-1.0
('strip', 'of'),-1.0
('function', 'performed'),-2.0
('and', 'quell'),-1.0
('seventh', 'feudal'),4.0
('(', 'twelve'),-1.0
('and', 'returned'),0.0
('Kazutoyo', 'YAMAUCHI'),0.0
('Iwate', 'lived'),1.0
('Sanetsuna', 'SANJO'),0.0
('Tsukiyomi-jinja', 'Shrine'),0.0
('Shozan', '('),0.0
('Line', 'is'),-7.0
('described', 'on'),0.0
('TOYOTOMI', '('),-3.0
('and', 'avenues'),-1.0
('muzzle', 'loading'),0.0
('KOSEKI', '('),0.0
gatha,0.0
('second', 'daughter'),0.0
('is', 'destined'),0.0
('tyrannies', 'and'),0.0
('or', 'unagi-donburi'),0.0
Loyal,-1.0
('Japanese', 'aristocratic'),1.0
instance,0.0
('Daimyo', 'Yoshiaki'),-2.0
('Iyo', '('),0.0
('MIBU', '('),2.0
understood,4.0
('or', 'Okisomimi'),0.0
(',', 'Aobyoshi-bon'),4.0
('(', 'another'),-1.0
('the', 'caricature'),0.0
